,names,menu,loc,review_num,avg_score
4138,피자보이시나 중앙대본점,피자,"서울특별시 동작구 흑석로9길 6 (흑석동, 1층)",0건,0.9615384615384616
4190,비어락맥주창고,"맥주,호프","서울특별시 동작구 여의대방로24가길 12 (대방동, 1층)",0건,1.0
4200,올라아보,"멕시코,남미음식","서울특별시 동작구 사당로 300 (사당동, 이수자이 1층 116호)",3건,0.88
4300,피자알볼로 상도점,피자,"서울특별시 동작구 상도로30길 39, 120동 108-1호 (상도동, 상도두산위브아파트)",0건,0.9444444444444444
4336,맛찬들왕소금구이,"육류,고기요리","서울특별시 동작구 동작대로27길 16-4 (사당동, 1층)",3건,0.8734177215189873
4415,치킨89,"치킨,닭강정","서울특별시 동작구 보라매로 98-5, 노블레스지상1층 101호 (신대방동)",10건,1.0
4425,통떡볶이,떡볶이,"서울특별시 동작구 양녕로22가길 68 (상도동, 1층 103호)",19건,0.9
4435,노량진점 역전우동 0410,"우동,소바","서울특별시 동작구 노량진로16길 35 (노량진동, 1층)",0건,0.9
4445,차녕식당,돈가스,"서울특별시 동작구 사당로16가길 87 (사당동, 1층)",0건,0.9
4455,농가촌,"장어,먹장어요리","서울특별시 동작구 여의대방로22가길 16 (신대방동, 1층)",0건,1.0
4465,가네미,"초밥,롤","서울특별시 동작구 상도로37길 42 (상도1동, 1층)",0건,0.9
4475,동작경희병원장례식장,장례식장,"서울특별시 동작구 상도로 146 (상도동, 지하2층)",17건,1.0
4487,어시장활어회,생선회,"서울특별시 동작구 사당로17가길 8 (사당동, 1층)",0건,0.8
4497,국수나무 남성역점,국수,"서울특별시 동작구 사당로 215 (사당동, 1층 102호)",0건,1.0
4507,김가네남성역점,분식,"서울특별시 동작구 사당로13길 31 (사당동, 두산위브트레지움 상가동 지하 3-2호)",1건,1.0
4517,탁주연가,요리주점,"서울특별시 동작구 동작대로3길 31 (사당동, 1층)",0건,1.0
4518,감성포차 놀이터,"맥주,호프","서울특별시 동작구 동작대로25길 27 (사당동, 지하1층)",1건,1.0
4524,부엌소리,한식,"서울특별시 동작구 성대로29길 61, 1층 (상도동)",108건,1.0
4527,커피하우스 준,"카페,디저트","서울특별시 동작구 사당로 247-7 (사당동, 1,2층)",3건,1.0
4535,은희네 온집닭떡볶이,종합분식,"서울특별시 동작구 상도로41길 35 (상도1동, 1층)",0건,0.7
4545,남매이야기,한식,"서울특별시 동작구 현충로 102 (흑석동, 1층)",78건,1.0
4555,해연,중식당,"서울특별시 동작구 흑석로 102 (흑석동, 중앙대병원 지하1층 104호)",5건,0.8
4565,봉구통닭 노량진점,"치킨,닭강정","서울특별시 동작구 만양로14가길 32 (노량진동, 1층)",0건,0.8
4575,태기산더덕순대,"순대,순댓국","서울특별시 동작구 사당로17길 5 (사당동, 1층)",0건,1.0
4585,옛날장터치킨,"치킨,닭강정","서울특별시 동작구 노량진로 48 (대방동, 현대아파트 종합상가 나동 1층 102호)",1건,1.0
4595,달콩커피,"카페,디저트","서울특별시 동작구 상도로37길 77 (상도동,  1층 102호)",2건,0.8
4605,행복한 밥상,한식,"서울특별시 동작구 만양로 40-2 (노량진동, 1층)",1건,0.8888888888888888
4614,이찌돈까스,돈가스,"서울특별시 동작구 동작대로5길 7 (사당동, 1층)",0건,0.8
4624,워너커피남성역점,카페,"서울특별시 동작구 사당로13길 15 (사당동, 1층)",0건,0.8
